IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
151127220,VANDALISM,VANDALISM WITH NOXIOUS CHEMICAL,Thursday,12/31/2015,23:10,CENTRAL,"ARREST, BOOKED",MASON ST / JEFFERSON ST,-122.414166515093,37.808419917271,"(37.808419917271, -122.414166515093)",15112722028167
151127208,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,12/31/2015,23:04,MISSION,"ARREST, BOOKED",16TH ST / MISSION ST,-122.419671780296,37.7650501214668,"(37.7650501214668, -122.419671780296)",15112720865016
151127270,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Thursday,12/31/2015,23:02,BAYVIEW,NONE,200 Block of LATHROP AV,-122.399864871739,37.7107078396642,"(37.7107078396642, -122.399864871739)",15112727028100
166002924,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,12/31/2015,23:00,CENTRAL,NONE,300 Block of POWELL ST,-122.408384275542,37.7878271137225,"(37.7878271137225, -122.408384275542)",16600292406372
166001324,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Thursday,12/31/2015,23:00,SOUTHERN,NONE,300 Block of SPEAR ST,-122.390136077091,37.7894806825431,"(37.7894806825431, -122.390136077091)",16600132406374
151127264,ASSAULT,BATTERY,Thursday,12/31/2015,23:00,CENTRAL,NONE,SUTTER ST / JONES ST,-122.4135447894,37.7885973839627,"(37.7885973839627, -122.4135447894)",15112726404134
166001352,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,12/31/2015,23:00,SOUTHERN,NONE,0 Block of OAK GROVE ST,-122.402234133558,37.7774957989136,"(37.7774957989136, -122.402234133558)",16600135206244
166001409,NON-CRIMINAL,LOST PROPERTY,Thursday,12/31/2015,23:00,SOUTHERN,NONE,500 Block of HOWARD ST,-122.397032436528,37.7878246694374,"(37.7878246694374, -122.397032436528)",16600140971000
160010038,NON-CRIMINAL,LOST PROPERTY,Thursday,12/31/2015,23:00,TENDERLOIN,NONE,300 Block of JONES ST,-122.412758846145,37.7843997500192,"(37.7843997500192, -122.412758846145)",16001003871000
160001162,NON-CRIMINAL,LOST PROPERTY,Thursday,12/31/2015,23:00,CENTRAL,NONE,400 Block of CALIFORNIA ST,-122.402366497202,37.7928466086428,"(37.7928466086428, -122.402366497202)",16000116271000
160001219,LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,Thursday,12/31/2015,23:00,TENDERLOIN,NONE,600 Block of ELLIS ST,-122.416893710739,37.7842860480389,"(37.7842860480389, -122.416893710739)",16000121906240
160001394,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Thursday,12/31/2015,23:00,INGLESIDE,NONE,500 Block of LOSPALMOS DR,-122.454178467231,37.7342649006581,"(37.7342649006581, -122.454178467231)",16000139405043
166008336,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Thursday,12/31/2015,23:00,SOUTHERN,NONE,600 Block of MISSION ST,-122.401692292616,37.7865888590763,"(37.7865888590763, -122.401692292616)",16600833606374
166002617,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,12/31/2015,23:00,NORTHERN,NONE,3100 Block of FILLMORE ST,-122.43575101831,37.7987282178823,"(37.7987282178823, -122.43575101831)",16600261706372
